"","GSM341241","GSM341242","GSM341243","GSM341244","GSM341245","GSM341246"
"Smr3a",3.758994,0.6077179,0.7016243,2.657403,3.471807,0.1960883
"Pcyt2",245.7767,259.001,256.1848,319.6219,278.0066,320.0949
"Vps26a",1151.468,1116.266,1108.331,1186.033,1276.271,1175.778
"F12",0.7360677,2.645863,1.935177,0.8535391,3.096189,4.865896
"Cebpz",690.2021,656.7142,635.4677,634.8,657.3779,612.3431
"Dab2",155.9594,135.4615,230.2462,126.4331,110.0897,137.9281
"Gch1",25.20873,32.25916,35.84913,24.97913,25.044,23.4406
"Dnajc1",150.8039,185.1498,184.3844,169.0355,210.5749,179.0589
"Sat1",426.8926,438.5448,566.7104,389.2188,390.9935,397.3106
"Slc6a14",199.5711,236.444,200.2126,172.5822,180.8982,190.9709
"Stxbp1",449.7606,420.5558,422.2613,415.1699,427.2242,449.2704
"Srek1ip1",124.5436,124.3611,125.4561,140.5461,123.5122,118.9887
"Srfbp1",163.008,181.8032,185.3792,157.9447,178.0682,140.0925
"Prph2",0.370943,0.3962312,0.2485604,0.3954262,0.4954498,0.3239031
"Dkk2",0.1241629,0.6528292,1.636084,0.2351277,1.83843,0.3813352
"Efcab2",439.0314,391.0684,401.9464,556.5266,504.7744,514.2596
"Tmem47",242.1626,238.1388,254.9676,209.6443,181.2541,207.8133
"Pglyrp2",0.3519801,0.8132358,0.7261819,0.5764736,0.4366442,0.7847454
"a",6.453184,6.25871,11.76153,17.81684,11.5408,16.41507
"Igsf9",25.27873,33.82874,26.50769,22.62468,29.60459,27.83264
"Papln",11.3852,11.74352,12.18953,23.80262,11.22777,15.708
"Otc",2.323292,3.277493,7.275449,0.4753618,1.876608,0.290406
